epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57384,1.99572,5.28011,1.6519,0,0,0,0,1.94524,6.12892,1.72345,0,0,0
2,6.77623,2.07008,5.16072,1.6119,0,0,0,0,1.91149,6.14094,1.68637,1.1e-05,1.1e-05,1.1e-05
3,10.0318,1.99208,5.56333,1.51451,0,0,0,0,1.91821,6.05441,1.65235,2.178e-05,2.178e-05,2.178e-05
4,13.4152,2.05408,4.80417,1.61358,0,0,0,0,1.82237,5.70424,1.59435,3.23401e-05,3.23401e-05,3.23401e-05
5,17.171,1.95264,4.57516,1.46468,0,0,0,0,1.79327,5.36701,1.52214,4.26802e-05,4.26802e-05,4.26802e-05
6,22.1592,1.83705,4.0799,1.52847,0.02317,0.2,0.03119,0.01529,1.72294,5.24359,1.43705,5.28003e-05,5.28003e-05,5.28003e-05
7,25.4412,1.75689,3.92536,1.36815,0.21425,0.3,0.25348,0.17155,1.74308,4.62035,1.38359,6.27004e-05,6.27004e-05,6.27004e-05
8,28.821,1.71409,2.98083,1.34245,0.99168,0.1,0.21816,0.13917,1.61168,4.00728,1.27039,7.23805e-05,7.23805e-05,7.23805e-05
9,31.798,1.68235,2.63493,1.3786,0.31043,0.5,0.37734,0.23579,1.61056,3.70596,1.33488,8.18407e-05,8.18407e-05,8.18407e-05
10,34.8375,1.7355,2.81671,1.63271,0.49748,0.5,0.34126,0.23375,1.56808,3.4275,1.35587,9.10809e-05,9.10809e-05,9.10809e-05
11,37.6247,1.44913,2.1974,1.18863,0.68329,0.44221,0.37865,0.26198,1.48012,3.23615,1.29495,0.000100101,0.000100101,0.000100101
12,40.5619,1.45154,1.87123,1.19096,0.35587,0.55466,0.53831,0.39374,1.39387,2.89537,1.23574,0.000108901,0.000108901,0.000108901
13,43.2008,1.45644,2.49442,1.3503,0.64972,0.5,0.57802,0.40222,1.34501,2.62132,1.17992,0.000117482,0.000117482,0.000117482
14,46.0936,1.50762,2.25165,1.42749,0.74073,0.49261,0.58803,0.4267,1.3258,2.48907,1.15366,0.000125842,0.000125842,0.000125842
15,49.1953,1.43532,1.9332,1.13617,0.36764,0.52779,0.55468,0.39399,1.31936,2.42793,1.14525,0.000133982,0.000133982,0.000133982
16,52.3366,1.30162,1.89,1.28552,0.37075,0.67355,0.51169,0.37564,1.27316,2.51793,1.13258,0.000141902,0.000141902,0.000141902
17,55.3382,1.45674,1.8065,1.12574,0.43041,0.78976,0.53329,0.39467,1.20174,2.62514,1.11485,0.000149603,0.000149603,0.000149603
18,58.1782,1.25685,2.22211,1.36496,0.43041,0.78976,0.53329,0.39467,1.20174,2.62514,1.11485,0.000157083,0.000157083,0.000157083
19,61.3013,1.23612,1.80744,1.1573,0.45399,0.85411,0.58312,0.42845,1.15612,2.57898,1.10647,0.000164344,0.000164344,0.000164344
20,64.4732,1.3895,2.01965,1.36898,0.45399,0.85411,0.58312,0.42845,1.15612,2.57898,1.10647,0.000171384,0.000171384,0.000171384
21,67.5847,1.20701,1.48926,1.15965,0.44453,0.84685,0.62611,0.45824,1.1477,2.26006,1.09416,0.000178204,0.000178204,0.000178204
22,70.4393,1.2307,1.32664,1.16709,0.44453,0.84685,0.62611,0.45824,1.1477,2.26006,1.09416,0.000184805,0.000184805,0.000184805
23,73.5029,1.14618,1.44829,1.19718,0.46132,0.86093,0.70944,0.49032,1.20194,2.01477,1.09951,0.000191185,0.000191185,0.000191185
24,76.5343,1.12723,1.21726,1.07715,0.46132,0.86093,0.70944,0.49032,1.20194,2.01477,1.09951,0.000197346,0.000197346,0.000197346
25,79.4631,1.06551,1.3937,1.20814,0.46787,0.85491,0.74306,0.49361,1.32439,1.82749,1.14273,0.000203286,0.000203286,0.000203286
26,82.223,1.07494,1.27702,1.08966,0.46787,0.85491,0.74306,0.49361,1.32439,1.82749,1.14273,0.000209007,0.000209007,0.000209007
27,85.2109,1.14525,1.13946,1.10403,0.63049,0.73647,0.76217,0.48248,1.42702,1.8404,1.18514,0.000214507,0.000214507,0.000214507
28,87.9055,1.06585,1.01604,1.01932,0.63049,0.73647,0.76217,0.48248,1.42702,1.8404,1.18514,0.000219788,0.000219788,0.000219788
29,90.9899,1.0088,1.06505,1.09226,0.5033,0.8,0.70217,0.45623,1.45845,2.1436,1.17941,0.000224849,0.000224849,0.000224849
30,93.7074,1.05033,1.03475,1.04371,0.5033,0.8,0.70217,0.45623,1.45845,2.1436,1.17941,0.000229689,0.000229689,0.000229689
31,96.5824,0.92493,1.01689,1.01548,0.61955,0.6874,0.62069,0.3862,1.46057,2.33948,1.17849,0.00023431,0.00023431,0.00023431
32,99.2876,0.95657,1.06772,1.06209,0.61955,0.6874,0.62069,0.3862,1.46057,2.33948,1.17849,0.000238711,0.000238711,0.000238711
33,102.197,1.22029,1.30216,1.12962,0.56301,0.7,0.57233,0.3647,1.50204,2.31182,1.18261,0.000242891,0.000242891,0.000242891
34,105.026,0.97773,0.98117,1.03904,0.56301,0.7,0.57233,0.3647,1.50204,2.31182,1.18261,0.000246852,0.000246852,0.000246852
35,107.934,1.09604,1.22353,1.11029,0.59883,0.6866,0.50168,0.32268,1.56717,2.16494,1.21431,0.000250593,0.000250593,0.000250593
36,110.765,0.97437,1.02076,0.91657,0.59883,0.6866,0.50168,0.32268,1.56717,2.16494,1.21431,0.000254113,0.000254113,0.000254113
37,113.56,1.2074,1.09211,1.13804,0.36052,0.7579,0.49496,0.27965,1.67464,2.17466,1.28179,0.000257414,0.000257414,0.000257414
38,116.136,1.16736,1.11265,1.22886,0.36052,0.7579,0.49496,0.27965,1.67464,2.17466,1.28179,0.000260495,0.000260495,0.000260495
39,118.752,1.09936,1.07624,1.07497,0.37161,0.74811,0.49106,0.27447,1.75205,2.2362,1.33412,0.000263356,0.000263356,0.000263356
40,121.265,1.03791,0.94313,0.99923,0.37161,0.74811,0.49106,0.27447,1.75205,2.2362,1.33412,0.000265997,0.000265997,0.000265997
41,123.924,1.20761,1.01354,1.13918,0.37735,0.7647,0.49107,0.28449,1.71179,2.20593,1.32501,0.000268418,0.000268418,0.000268418
42,126.543,0.94248,0.86242,1.00463,0.37735,0.7647,0.49107,0.28449,1.71179,2.20593,1.32501,0.000270618,0.000270618,0.000270618
43,129.219,0.8113,0.88328,0.95647,0.5434,0.49708,0.46433,0.27905,1.66616,2.30267,1.31935,0.000272599,0.000272599,0.000272599
44,131.812,0.88478,0.87645,0.97109,0.5434,0.49708,0.46433,0.27905,1.66616,2.30267,1.31935,0.00027436,0.00027436,0.00027436
45,134.72,1.06969,0.89696,1.01543,0.67698,0.4,0.44245,0.25765,1.67515,2.37084,1.31229,0.000275901,0.000275901,0.000275901
46,137.532,0.88668,0.84822,0.98287,0.67698,0.4,0.44245,0.25765,1.67515,2.37084,1.31229,0.000277222,0.000277222,0.000277222
47,140.316,0.96419,0.78189,1.01391,0.59108,0.4,0.4691,0.25908,1.72506,2.44669,1.34696,0.000278323,0.000278323,0.000278323
48,142.964,0.87518,0.82981,0.93841,0.59108,0.4,0.4691,0.25908,1.72506,2.44669,1.34696,0.000279204,0.000279204,0.000279204
49,145.677,0.9797,0.79108,0.96249,0.33341,0.61892,0.46082,0.24931,1.77453,2.43647,1.37881,0.000279865,0.000279865,0.000279865
50,148.275,0.80179,0.79773,0.95809,0.33341,0.61892,0.46082,0.24931,1.77453,2.43647,1.37881,0.000280306,0.000280306,0.000280306
51,151,1.07451,0.97535,1.14396,0.5189,0.5,0.41438,0.23771,1.76171,2.33974,1.40413,0.000280527,0.000280527,0.000280527
52,153.548,0.96482,0.84128,0.97552,0.5189,0.5,0.41438,0.23771,1.76171,2.33974,1.40413,0.000280529,0.000280529,0.000280529
53,156.069,1.14519,0.82629,1.10376,0.5189,0.5,0.41438,0.23771,1.76171,2.33974,1.40413,0.00028031,0.00028031,0.00028031
54,158.795,0.99734,0.75729,1.01249,0.38438,0.68783,0.45911,0.2672,1.69502,2.19099,1.38683,0.000279871,0.000279871,0.000279871
55,161.463,1.02079,0.90054,1.00298,0.38438,0.68783,0.45911,0.2672,1.69502,2.19099,1.38683,0.000279212,0.000279212,0.000279212
56,164.131,0.87137,0.71957,0.94584,0.38438,0.68783,0.45911,0.2672,1.69502,2.19099,1.38683,0.000278333,0.000278333,0.000278333
57,166.894,0.94814,0.7441,0.90633,0.41379,0.65087,0.44911,0.27856,1.64415,2.13336,1.35699,0.000277234,0.000277234,0.000277234
58,169.534,0.93129,0.7995,1.00533,0.41379,0.65087,0.44911,0.27856,1.64415,2.13336,1.35699,0.000275916,0.000275916,0.000275916
59,172.271,0.9771,0.81095,1.06119,0.41379,0.65087,0.44911,0.27856,1.64415,2.13336,1.35699,0.000274377,0.000274377,0.000274377
60,174.864,0.93027,0.7986,1.01141,0.39016,0.57884,0.45438,0.28032,1.6602,2.20714,1.35014,0.000272618,0.000272618,0.000272618
61,177.263,0.87,0.68715,0.95947,0.39016,0.57884,0.45438,0.28032,1.6602,2.20714,1.35014,0.00027064,0.00027064,0.00027064
62,179.67,0.89628,0.69472,0.94034,0.39016,0.57884,0.45438,0.28032,1.6602,2.20714,1.35014,0.000268441,0.000268441,0.000268441
63,182.162,0.78813,0.68105,1.00055,0.36881,0.6,0.45436,0.2746,1.67998,2.22249,1.4012,0.000266022,0.000266022,0.000266022
64,184.651,0.89816,0.6651,0.912,0.36881,0.6,0.45436,0.2746,1.67998,2.22249,1.4012,0.000263384,0.000263384,0.000263384
65,187.117,0.98557,0.76254,1.02048,0.36881,0.6,0.45436,0.2746,1.67998,2.22249,1.4012,0.000260525,0.000260525,0.000260525
66,189.763,0.86724,0.69055,0.94461,0.39956,0.5,0.54976,0.31977,1.70646,2.10921,1.4274,0.000257446,0.000257446,0.000257446
67,192.255,0.77679,0.61199,0.98745,0.39956,0.5,0.54976,0.31977,1.70646,2.10921,1.4274,0.000254148,0.000254148,0.000254148
68,194.954,0.83845,0.66292,0.95664,0.39956,0.5,0.54976,0.31977,1.70646,2.10921,1.4274,0.000250629,0.000250629,0.000250629
69,197.557,0.7582,0.66269,0.921,0.41792,0.5,0.50994,0.28111,1.73223,2.21199,1.4354,0.000246891,0.000246891,0.000246891
70,200.155,0.71007,0.5993,0.90996,0.41792,0.5,0.50994,0.28111,1.73223,2.21199,1.4354,0.000242932,0.000242932,0.000242932
71,202.896,0.735,0.60674,0.9322,0.41792,0.5,0.50994,0.28111,1.73223,2.21199,1.4354,0.000238754,0.000238754,0.000238754
72,206.047,0.82433,0.68942,0.99716,0.39162,0.5,0.47534,0.27192,1.69683,2.28891,1.4077,0.000234355,0.000234355,0.000234355
73,209.03,0.83678,0.74695,0.96123,0.39162,0.5,0.47534,0.27192,1.69683,2.28891,1.4077,0.000229737,0.000229737,0.000229737
74,211.706,0.80199,0.64581,1.01359,0.39162,0.5,0.47534,0.27192,1.69683,2.28891,1.4077,0.000224899,0.000224899,0.000224899
75,214.728,0.70752,0.56504,0.89069,0.33761,0.63656,0.52775,0.3271,1.58893,2.18438,1.33818,0.00021984,0.00021984,0.00021984
76,217.571,0.71853,0.59788,0.93053,0.33761,0.63656,0.52775,0.3271,1.58893,2.18438,1.33818,0.000214562,0.000214562,0.000214562
77,220.591,0.71909,0.67631,0.94195,0.33761,0.63656,0.52775,0.3271,1.58893,2.18438,1.33818,0.000209064,0.000209064,0.000209064
78,223.529,0.82898,0.69841,0.98059,0.86495,0.3,0.50566,0.31369,1.50097,2.18121,1.29974,0.000203345,0.000203345,0.000203345
79,226.381,0.78074,0.7056,0.90941,0.86495,0.3,0.50566,0.31369,1.50097,2.18121,1.29974,0.000197407,0.000197407,0.000197407
80,229.216,0.76738,0.57944,0.95851,0.86495,0.3,0.50566,0.31369,1.50097,2.18121,1.29974,0.000191249,0.000191249,0.000191249
81,232.217,0.7138,0.56524,0.87727,0.77663,0.3,0.52163,0.32834,1.4616,2.18561,1.28583,0.00018487,0.00018487,0.00018487
82,235.131,0.76426,0.58929,0.89668,0.77663,0.3,0.52163,0.32834,1.4616,2.18561,1.28583,0.000178272,0.000178272,0.000178272
83,237.932,0.72287,0.58339,0.85454,0.77663,0.3,0.52163,0.32834,1.4616,2.18561,1.28583,0.000171454,0.000171454,0.000171454
84,240.876,0.74208,0.62328,0.88943,0.23911,0.50717,0.53831,0.32613,1.42575,2.13424,1.27287,0.000164416,0.000164416,0.000164416
85,243.613,0.6711,0.58305,0.9205,0.23911,0.50717,0.53831,0.32613,1.42575,2.13424,1.27287,0.000157158,0.000157158,0.000157158
86,246.837,0.76417,0.6508,0.94657,0.23911,0.50717,0.53831,0.32613,1.42575,2.13424,1.27287,0.000149679,0.000149679,0.000149679
87,250.08,0.73698,0.59621,0.85023,0.23911,0.50717,0.53831,0.32613,1.42575,2.13424,1.27287,0.000141981,0.000141981,0.000141981
88,254.77,0.56583,0.55161,0.88378,0.52824,0.59603,0.51661,0.3103,1.42527,2.1594,1.27738,0.000134063,0.000134063,0.000134063
89,259.3,0.67146,0.50756,0.87099,0.52824,0.59603,0.51661,0.3103,1.42527,2.1594,1.27738,0.000125925,0.000125925,0.000125925
90,264.026,0.77424,0.57795,0.89292,0.52824,0.59603,0.51661,0.3103,1.42527,2.1594,1.27738,0.000117567,0.000117567,0.000117567
91,268.634,0.69768,0.57975,0.98901,0.52824,0.59603,0.51661,0.3103,1.42527,2.1594,1.27738,0.000108989,0.000108989,0.000108989
